season,week,category,is_no_elimination,is_no_elimination_any,is_no_elim_effective,is_double_elimination,is_final_week,reason
1,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
1,4,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
2,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
3,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
3,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
4,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
4,2,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
4,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
5,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
5,8,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
5,10,finale,False,False,False,False,True,missing in npz (not exported by Q1)
6,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
7,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
8,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
8,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
9,9,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
10,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
10,4,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
10,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
11,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
12,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
12,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
13,2,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
14,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
14,2,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
14,10,finale,False,False,False,False,True,missing in npz (not exported by Q1)
15,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
15,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
15,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
16,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
16,4,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
16,9,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
17,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
17,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
17,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
18,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
18,4,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
18,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
19,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
19,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
19,10,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
20,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
20,9,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
21,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
21,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
21,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
21,10,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
22,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
22,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
22,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
23,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
23,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
24,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
24,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
25,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
25,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
25,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
27,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
28,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
28,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
28,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
29,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
30,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
30,3,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
30,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
31,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
32,6,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
32,7,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
32,9,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
32,10,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
33,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
33,8,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
34,1,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
34,5,no_elimination,True,True,True,False,False,missing in npz (not exported by Q1)
